Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses,Image
Intel_11gen,periodic,256,567616,1703936,3.001916788814974,4523,8789,gray21.512
Intel_11gen,blurred,8,3148096,6400000,2.0329748521010793,811,49189,gray21.512
Intel_11gen,skew,1,3219328,6400000,1.9879925251481056,5,49995,gray21.512
Intel_11gen,skew,4,3217024,6400000,1.989416305256038,39,49961,gray21.512
Intel_11gen,blurred,16,3099648,6400000,2.064750578130162,1569,48431,gray21.512
Intel_11gen,strided,64,1829440,6393856,3.4949798845548363,21631,28321,gray21.512
Intel_11gen,skew,8,3213312,6400000,1.9917144678138945,89,49911,gray21.512
Intel_11gen,strided,128,1050112,6393856,6.088737201365188,33696,16256,gray21.512
Intel_11gen,skew,16,3210624,6400000,1.9933819718534465,157,49843,gray21.512
Intel_11gen,blurred,32,2992512,6400000,2.138671457290731,3242,46758,gray21.512
Intel_11gen,blurred,64,2802048,6400000,2.284043670914988,6218,43782,gray21.512
Intel_11gen,strided,256,1050112,6393856,6.088737201365188,33696,16256,gray21.512
Intel_11gen,skew,64,3181696,6400000,2.0115058132518,598,49402,gray21.512
Intel_8gen,random,256,3238656,6400000,1.9761283692988696,808,49192,gray21.512
Intel_11gen,blurred,128,2406720,6400000,2.659220848291451,12395,37605,gray21.512
Intel_8gen,skew,256,3122176,6400000,2.049852410626435,2218,47782,gray21.512
Intel_11gen,random,256,3176512,6400000,2.0147885479418934,802,49198,gray21.512
Intel_11gen,blurred,256,1708160,6400000,3.7467216185837393,23312,26688,gray21.512
Intel_11gen,skew,128,3147712,6400000,2.033222861557855,1137,48863,gray21.512
Mali,periodic,8,97675,851968,8.722477604299975,4523,8789,gray21.512
Mali,periodic,16,97675,851968,8.722477604299975,4523,8789,gray21.512
Mali,periodic,1,97675,851968,8.722477604299975,4523,8789,gray21.512
Intel_11gen,skew,256,3075904,6400000,2.0806891242379475,2231,47769,gray21.512
Mali,periodic,4,97675,851968,8.722477604299975,4523,8789,gray21.512
Mali,periodic,32,97675,851968,8.722477604299975,4523,8789,gray21.512
Mali,periodic,64,97675,851968,8.722477604299975,4523,8789,gray21.512
Mali,periodic,128,97675,851968,8.722477604299975,4523,8789,gray21.512
Mali,periodic,256,97675,851968,8.722477604299975,4523,8789,gray21.512
Mali,periodic,0,147826,851968,5.763316331362548,0,13312,gray21.512
Mali,strided,128,181498,3196928,17.614122469669088,33696,16256,gray21.512
Mali,strided,256,181498,3196928,17.614122469669088,33696,16256,gray21.512
Mali,strided,1,316524,3196928,10.100112471724104,21631,28321,gray21.512
Mali,strided,4,316524,3196928,10.100112471724104,21631,28321,gray21.512
Mali,strided,8,316524,3196928,10.100112471724104,21631,28321,gray21.512
Mali,strided,16,316524,3196928,10.100112471724104,21631,28321,gray21.512
Mali,strided,32,316524,3196928,10.100112471724104,21631,28321,gray21.512
Mali,strided,64,316524,3196928,10.100112471724104,21631,28321,gray21.512
Mali,blurred,256,298280,3200000,10.728174869250369,23105,26895,gray21.512
Mali,blurred,128,418188,3200000,7.652060795623021,12238,37762,gray21.512
Mali,blurred,64,482390,3200000,6.633636684010862,6408,43592,gray21.512
Mali,random,0,558487,3200000,5.729766315061944,0,50000,gray21.512
Mali,blurred,32,517586,3200000,6.182547441391383,3226,46774,gray21.512
Mali,strided,0,558668,3196928,5.722411163696506,0,49952,gray21.512
Mali,random,1,558434,3200000,5.7303101172206565,4,49996,gray21.512
Mali,random,4,557776,3200000,5.737070078311007,13,49987,gray21.512
Mali,random,8,558183,3200000,5.732886884767182,29,49971,gray21.512
Mali,random,16,557633,3200000,5.738541298667762,41,49959,gray21.512
Mali,random,32,556823,3200000,5.746889047327427,99,49901,gray21.512
Mali,blurred,16,535309,3200000,5.977855780493136,1607,48393,gray21.512
Mali,skew,0,558210,3200000,5.732609591372422,0,50000,gray21.512
Mali,blurred,4,548623,3200000,5.832784990786022,414,49586,gray21.512
